wri_tot_id,structure,severity_id,time_frequency,unit_description,activity_id,sex_id,country_id,time_period,obs_value,observation_status,employment_h,casualties_x1k,m_employment_h,f_employment_h,m_casualties,f_casualties,m_casualties_x1km,f_casualties_x1kf
113,dataflow,D_GE4,Annual,Number,H,F,CZ,2017,1139,,328.4,3.47,0,328.4,0,1139,0,3.47
114,dataflow,D_GE4,Annual,Number,H,F,CZ,2018,1060,,328.2,3.23,0,328.2,0,1060,0,3.23
115,dataflow,D_GE4,Annual,Number,H,F,CZ,2019,1066,,352.5,3.02,0,352.5,0,1066,0,3.02
116,dataflow,D_GE4,Annual,Number,H,F,CZ,2020,863,break in time series,326.4,2.64,0,326.4,0,863,0,2.64
117,dataflow,D_GE4,Annual,Number,H,F,CZ,2021,919,,311.9,2.95,0,311.9,0,919,0,2.95
118,dataflow,D_GE4,Annual,Number,H,F,CZ,2022,853,,320.6,2.66,0,320.6,0,853,0,2.66
119,dataflow,D_GE4,Annual,Number,H,F,CZ,2023,738,,313.5,2.35,0,313.5,0,738,0,2.35
120,dataflow,D_GE4,Annual,Number,H,F,DE,2014,11200,,1924.4,5.82,0,1924.4,0,11200,0,5.82
121,dataflow,D_GE4,Annual,Number,H,F,DE,2015,12454,,1958.2,6.36,0,1958.2,0,12454,0,6.36
122,dataflow,D_GE4,Annual,Number,H,F,DE,2016,12016,,2017.3,5.96,0,2017.3,0,12016,0,5.96
123,dataflow,D_GE4,Annual,Number,H,F,DE,2017,17344,break in time series,2082.8,8.33,0,2082.8,0,17344,0,8.33
124,dataflow,D_GE4,Annual,Number,H,F,DE,2018,16617,,2116.5,7.85,0,2116.5,0,16617,0,7.85
125,dataflow,D_GE4,Annual,Number,H,F,DE,2019,17064,,2141.5,7.97,0,2141.5,0,17064,0,7.97
126,dataflow,D_GE4,Annual,Number,H,F,DE,2020,14718,break in time series,1912.9,7.69,0,1912.9,0,14718,0,7.69
127,dataflow,D_GE4,Annual,Number,H,F,DE,2021,16737,,1887,8.87,0,1887,0,16737,0,8.87
128,dataflow,D_GE4,Annual,Number,H,F,DE,2022,15249,,2024.5,7.53,0,2024.5,0,15249,0,7.53
129,dataflow,D_GE4,Annual,Number,H,F,DE,2023,16708,,2064.4,8.09,0,2064.4,0,16708,0,8.09
130,dataflow,D_GE4,Annual,Number,H,F,ES,2014,3619,,852.8,4.24,0,852.8,0,3619,0,4.24
131,dataflow,D_GE4,Annual,Number,H,F,ES,2015,3614,,870.5,4.15,0,870.5,0,3614,0,4.15
132,dataflow,D_GE4,Annual,Number,H,F,ES,2016,3913,,932.1,4.2,0,932.1,0,3913,0,4.2
133,dataflow,D_GE4,Annual,Number,H,F,ES,2017,4072,,936.6,4.35,0,936.6,0,4072,0,4.35
134,dataflow,D_GE4,Annual,Number,H,F,ES,2018,4426,,981.1,4.51,0,981.1,0,4426,0,4.51
135,dataflow,D_GE4,Annual,Number,H,F,ES,2019,4795,break in time series,1031.1,4.65,0,1031.1,0,4795,0,4.65
136,dataflow,D_GE4,Annual,Number,H,F,ES,2020,3545,break in time series,992.1,3.57,0,992.1,0,3545,0,3.57
137,dataflow,D_GE4,Annual,Number,H,F,ES,2021,4210,,1028.3,4.09,0,1028.3,0,4210,0,4.09
138,dataflow,D_GE4,Annual,Number,H,F,ES,2022,4761,,1113.3,4.28,0,1113.3,0,4761,0,4.28
139,dataflow,D_GE4,Annual,Number,H,F,ES,2023,5234,,1177.2,4.45,0,1177.2,0,5234,0,4.45
140,dataflow,D_GE4,Annual,Number,H,F,FR,2014,10529,break in time series,1427.7,7.37,0,1427.7,0,10529,0,7.37
141,dataflow,D_GE4,Annual,Number,H,F,FR,2015,10833,,1474.9,7.34,0,1474.9,0,10833,0,7.34
