wri_it_id,structure,severity_id,time_frequency,unit_description,activity_id,sex_id,country_id,time_period,obs_value,observation_status,employment_au,casualties_x1k,m_casualties,f_casualties,m_employment_au,f_employment_au,m_casualties_x1km,f_casualties_x1kf
204,dataflow,FAT,Annual,Number,U,UNK,IT,2018,0,,17.5,0,0,0,9.1,8.4,0,0
205,dataflow,FAT,Annual,Number,U,UNK,IT,2019,0,,13.7,0,0,0,7.15,6.55,0,0
206,dataflow,FAT,Annual,Number,U,UNK,IT,2020,0,break in time series,17,0,0,0,9.35,7.65,0,0
207,dataflow,FAT,Annual,Number,U,UNK,IT,2021,0,,16.4,0,0,0,9.4,7,0,0
208,dataflow,FAT,Annual,Number,U,UNK,IT,2022,0,,18.9,0,0,0,8.9,10,0,0
209,dataflow,FAT,Annual,Number,U,UNK,IT,2023,0,,17.3,0,0,0,10,7.3,0,0
210,dataflow,D_GE4,Annual,Number,A,F,IT,2014,6955,,811.6,8.57,0,6955,0,811.6,0,8.57
211,dataflow,D_GE4,Annual,Number,A,F,IT,2015,6420,,842.7,7.62,0,6420,0,842.7,0,7.62
212,dataflow,D_GE4,Annual,Number,A,F,IT,2016,6036,,884,6.83,0,6036,0,884,0,6.83
213,dataflow,D_GE4,Annual,Number,A,F,IT,2017,5694,,870.9,6.54,0,5694,0,870.9,0,6.54
