eh_id,structure,structure_name,time_frequency,age_id,sex_id,activity_id,isco08_deescription,unit_description,country_id,time_period,obs_value,observation_status,
141,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,H,Total,Thousand persons,HR,2022,18.5,,
142,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,H,Total,Thousand persons,HR,2023,19.6,,
143,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,H,Total,Thousand persons,HU,2014,67.3,,
144,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,H,Total,Thousand persons,HU,2015,68.6,,
145,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,H,Total,Thousand persons,HU,2016,66.2,,
146,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,H,Total,Thousand persons,HU,2017,68.8,,
147,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,H,Total,Thousand persons,HU,2018,69.6,break in time series,
148,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,H,Total,Thousand persons,HU,2019,68.8,,
149,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,H,Total,Thousand persons,HU,2020,63.6,,
150,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,H,Total,Thousand persons,HU,2021,70,break in time series,
151,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,H,Total,Thousand persons,HU,2022,70.5,,
152,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,H,Total,Thousand persons,HU,2023,70.7,,
153,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,H,Total,Thousand persons,IE,2014,16.7,,
154,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,H,Total,Thousand persons,IE,2015,15.9,,
155,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,H,Total,Thousand persons,IE,2016,17.2,,
156,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,H,Total,Thousand persons,IE,2017,17.1,break in time series,
157,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,H,Total,Thousand persons,IE,2018,18.3,,
158,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,H,Total,Thousand persons,IE,2019,19.2,,
159,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,H,Total,Thousand persons,IE,2020,19.7,,
160,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,H,Total,Thousand persons,IE,2021,21.9,break in time series,
161,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,H,Total,Thousand persons,IE,2022,22.4,,
162,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,H,Total,Thousand persons,IE,2023,20.1,,
163,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,H,Total,Thousand persons,IS,2014,3.3,,
164,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,H,Total,Thousand persons,IS,2015,4.1,,
165,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,H,Total,Thousand persons,IS,2016,4.5,,
166,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,H,Total,Thousand persons,IS,2017,4.4,,
167,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,H,Total,Thousand persons,IS,2018,4.4,,
168,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,H,Total,Thousand persons,IS,2019,4.1,,
