eit_id,structure,structure_name,time_frequency,age_id,sex_id,activity_id,isco08_deescription,unit_description,country_id,time_period,obs_value,observation_status
154,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,P,Total,Thousand persons,IT,2018,1193.2,break in time series
155,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,P,Total,Thousand persons,IT,2019,1192,
156,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,P,Total,Thousand persons,IT,2020,1208.2,
157,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,P,Total,Thousand persons,IT,2021,1218.8,break in time series
158,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,P,Total,Thousand persons,IT,2022,1197.3,
159,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,P,Total,Thousand persons,IT,2023,1266.6,
160,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,Q,Total,Thousand persons,IT,2014,1256.9,
161,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,Q,Total,Thousand persons,IT,2015,1250,
162,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,Q,Total,Thousand persons,IT,2016,1270.6,
163,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,Q,Total,Thousand persons,IT,2017,1305.9,
164,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,Q,Total,Thousand persons,IT,2018,1315.3,break in time series
165,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,Q,Total,Thousand persons,IT,2019,1333.3,
166,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,Q,Total,Thousand persons,IT,2020,1310.6,
167,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,Q,Total,Thousand persons,IT,2021,1336.5,break in time series
168,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,Q,Total,Thousand persons,IT,2022,1336.4,
169,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,Q,Total,Thousand persons,IT,2023,1381.7,
170,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,R,Total,Thousand persons,IT,2014,137,
171,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,R,Total,Thousand persons,IT,2015,142.3,
