STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,age,Age class,sex,Sex,nace_r2,Statistical classification of economic activities in the European Community (NACE Rev. 2),isco08,International Standard Classification of Occupations 2008 (ISCO-08),unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,F,Females,H,Transportation and storage,TOTAL,Total,THS_PER,Thousand persons,DK,Denmark,2016,,25.3,,b,break in time series,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,F,Females,H,Transportation and storage,TOTAL,Total,THS_PER,Thousand persons,DK,Denmark,2017,,27.6,,b,break in time series,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,F,Females,H,Transportation and storage,TOTAL,Total,THS_PER,Thousand persons,DK,Denmark,2018,,24.9,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,F,Females,H,Transportation and storage,TOTAL,Total,THS_PER,Thousand persons,DK,Denmark,2019,,25.9,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,F,Females,H,Transportation and storage,TOTAL,Total,THS_PER,Thousand persons,DK,Denmark,2020,,27.3,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,F,Females,H,Transportation and storage,TOTAL,Total,THS_PER,Thousand persons,DK,Denmark,2021,,24.7,,b,break in time series,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,F,Females,H,Transportation and storage,TOTAL,Total,THS_PER,Thousand persons,DK,Denmark,2022,,26.3,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,F,Females,H,Transportation and storage,TOTAL,Total,THS_PER,Thousand persons,DK,Denmark,2023,,27.2,,b,break in time series,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,F,Females,H,Transportation and storage,TOTAL,Total,THS_PER,Thousand persons,EE,Estonia,2014,,13.9,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,F,Females,H,Transportation and storage,TOTAL,Total,THS_PER,Thousand persons,EE,Estonia,2015,,12.1,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,F,Females,H,Transportation and storage,TOTAL,Total,THS_PER,Thousand persons,EE,Estonia,2016,,12.6,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,F,Females,H,Transportation and storage,TOTAL,Total,THS_PER,Thousand persons,EE,Estonia,2017,,13.4,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,F,Females,H,Transportation and storage,TOTAL,Total,THS_PER,Thousand persons,EE,Estonia,2018,,12.1,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,F,Females,H,Transportation and storage,TOTAL,Total,THS_PER,Thousand persons,EE,Estonia,2019,,13.1,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,F,Females,H,Transportation and storage,TOTAL,Total,THS_PER,Thousand persons,EE,Estonia,2020,,11.8,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,F,Females,H,Transportation and storage,TOTAL,Total,THS_PER,Thousand persons,EE,Estonia,2021,,10.7,,b,break in time series,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,F,Females,H,Transportation and storage,TOTAL,Total,THS_PER,Thousand persons,EE,Estonia,2022,,10.6,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,F,Females,H,Transportation and storage,TOTAL,Total,THS_PER,Thousand persons,EE,Estonia,2023,,11.0,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,F,Females,H,Transportation and storage,TOTAL,Total,THS_PER,Thousand persons,EL,Greece,2014,,27.5,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,F,Females,H,Transportation and storage,TOTAL,Total,THS_PER,Thousand persons,EL,Greece,2015,,26.7,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,F,Females,H,Transportation and storage,TOTAL,Total,THS_PER,Thousand persons,EL,Greece,2016,,28.5,,,,,
